feature,importance,fold
b_cnt,2,1
c_cnt,9,1
d_cnt,12,1
e_cnt,3,1
cde_cnt,12,1
bc_cnt,15,1
all_cnt,11,1
symbol,11,1
201711_cnum,52,1
201712_cnum,37,1
20181_cnum,95,1
201711_weight,86,1
201712_weight,108,1
20181_weight,53,1
all_cnum,31,1
all_weight,58,1
all_mean_cnum_weight,32,1
20181_mean_cnt_weight,127,1
201712_mean_cnt_weight,86,1
201711_mean_cnt_weight,111,1
symbol_1_y,15,1
symbol_2_y,8,1
symbol_3_y,10,1
symbol_4_y,8,1
symbol_5_y,2,1
symbol_6_y,19,1
symbol_8_y,21,1
symbol_10_y,9,1
symbol_12_y,3,1
symbol_13_y,3,1
symbol_14_y,10,1
symbol_16_y,6,1
symbol_17_y,5,1
symbol_25_y,26,1
symbol_26_y,6,1
symbol_27_y,5,1
symbol_30_y,5,1
symbol_33_y,4,1
symbol_34_y,17,1
symbol_36_y,9,1
symbol_41_y,5,1
symbol_44_y,4,1
symbol_48_y,5,1
symbol_49_y,6,1
symbol_62_y,5,1
culster30_x,36,1
culster30_y,40,1
apps_count,22,1
apps_sum,27,1
id_num,47,1
b_cnt,15,2
c_cnt,12,2
d_cnt,14,2
e_cnt,11,2
cde_cnt,15,2
bc_cnt,19,2
all_cnt,32,2
symbol,17,2
201711_cnum,182,2
201712_cnum,123,2
20181_cnum,212,2
201711_weight,175,2
201712_weight,238,2
20181_weight,139,2
all_cnum,119,2
all_weight,122,2
all_mean_cnum_weight,150,2
20181_mean_cnt_weight,201,2
201712_mean_cnt_weight,189,2
201711_mean_cnt_weight,279,2
symbol_1_y,53,2
symbol_2_y,11,2
symbol_3_y,5,2
symbol_4_y,26,2
symbol_5_y,15,2
symbol_6_y,51,2
symbol_8_y,28,2
symbol_10_y,17,2
symbol_12_y,13,2
symbol_13_y,11,2
symbol_14_y,13,2
symbol_16_y,17,2
symbol_17_y,16,2
symbol_25_y,50,2
symbol_26_y,9,2
symbol_27_y,23,2
symbol_30_y,9,2
symbol_33_y,11,2
symbol_34_y,29,2
symbol_36_y,23,2
symbol_41_y,10,2
symbol_44_y,8,2
symbol_48_y,8,2
symbol_49_y,8,2
symbol_62_y,9,2
culster30_x,70,2
culster30_y,115,2
apps_count,81,2
apps_sum,93,2
id_num,167,2
b_cnt,8,3
c_cnt,12,3
d_cnt,10,3
e_cnt,6,3
cde_cnt,3,3
bc_cnt,9,3
all_cnt,11,3
symbol,9,3
201711_cnum,48,3
201712_cnum,78,3
